original_price,discount_original_price,discount_final_price,release_date,reviews,item_id,genre
US$6.99 ,0,0,  Jun 1  2016,  [Positive],456720,  [Action- Indie]
Free to Play,0,0,  Sep 1  2015,  [Mixed],388490,  [Free to Play- Adventure- Horror- Choose Your Own Adventure]
US$19.99 ,0,0,  Nov 2  2015,  [Mostly Positive- Mixed],314520,  [Simulation- Fishing- Sports- Multiplayer- Hunting- Singleplayer- Third Person- Action- Open World- First-Person- Atmospheric- Replay Value- Realistic- Exploration- Tactical- Relaxing- Asynchronous Multiplayer- TrackIR- VR- Free to Play]
US$5.99 ,0,0,  Oct 19  2001,  [Very Positive- Very Positive],40960,  [Strategy- Medieval- Classic- RTS- Base-Building- Simulation- Economy- Multiplayer- City Builder- Resource Management- Singleplayer- Great Soundtrack- Historical- Atmospheric- 2D]
US$9.99 ,0,0,  Apr 28  2015,  [Mostly Positive],347710,  [Adventure- Indie- Point & Click- Female Protagonist]
,US$5.99 ,US$3.89 ,  Aug 1  2016,  [Positive],495720,  [Action- Indie- FPS- Shooter- Retro]
US$4.99 ,0,0,  Jul 7  2016,  [Positive],495090,  [Casual- Puzzle- Match 3]
US$3.99 ,0,0,  Jun 1  2016,  [],473050,  [Indie- Action- Adventure- Underwater]
US$4.99 ,0,0,  Oct 21  2015,  [Positive],409610,  [Action- Indie- Runner- Platformer- Space]
US$2.99 ,0,0,  Jan 2  2015,  [Mostly Positive],340290,  [Indie- Action- Retro- Puzzle-Platformer- Platformer- Pixel Graphics]
US$9.99 ,0,US$33.71 ,  Oct 23  2015,  [Positive],379750,  [Adventure- Massively Multiplayer- Indie- Casual- Strategy]
US$4.99 ,0,0,  May 12  2014,  [Mostly Negative],340920,  [Strategy- Indie- 4X- Fantasy- Medieval]
US$0.99 ,0,0,  Jun 15  2016,  [Mixed],487030,  [Strategy- Adventure- Indie]
US$4.99 ,0,0,  Dec 16  2015,  [Mixed],375520,  [Indie- Action- Adventure- Pixel Graphics- Female Protagonist- Singleplayer- Difficult- Platformer- Anime]
US$0.99 ,0,US$41.32 ,  Jan 28  2015,  [Positive],319017,  [Strategy- RPG]
US$1.99 ,0,0,  Sep 19  2015,  [Very Positive],375030,  [Indie- Action- Political- Platformer- 2D]
US$0.99 ,0,US$41.32 ,  Jan 27  2015,  [Positive],319015,  [Strategy- RPG]
US$9.99 ,0,0,  Feb 3  2016,  [Mixed],434360,  [Early Access- Action- Indie- Casual- Simulation]
US$9.99 ,0,0,  Feb 24  2009,  [Mixed],23500,  [RPG- Casual- Puzzle- Match 3- Sci-fi]
US$4.99 ,0,0,  Mar 29  2016,  [Positive],429350,  [Early Access- Action- Indie]
US$3.99 ,0,0,  Sep 9  2016,  [Positive],468050,  [Adventure- Indie- Pixel Graphics]
US$9.99 ,0,0,  Jul 10  2015,  [Very Positive],296550,  [Adventure- Indie- Puzzle- Puzzle-Platformer- Singleplayer- First-Person- Minimalist]
