appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
351150,DRAGON: A Game About a Dragon,Games With Dragons In,IPBuilders,27,352,154,69,133438,11357,75311,8533,0,0,266,0,176,0,499
44690,GT Legends,SimBin Studios AB,SimBin,74,189,21,88,136976,11507,51303,7043,1134,1281,45,1,1,1,799
295930,Swipecart,Micro Factory Games,Micro Factory Games,6,249,308,80,136723,11496,70510,8256,0,0,117,0,61,0,299
340070,Battle Ranch: Pigs vs Plants,Playboom,Playboom,9,384,363,49,142283,11728,89717,9313,2780,1639,595,358,211,420,199
371420,Teddy Floppy Ear - The Race,Forever Entertainment S. A.,Forever Entertainment S. A.,39,564,170,74,129394,11184,67983,8107,1526,2113,316,171,333,268,109
44360,F1 2011,Codemasters Birmingham,Codemasters,24,198,96,70,144052,11800,54083,7231,2690,1990,1587,44,337,46,1499
371670,Rolling Sun,Mystik'Art,Mystik'Art,11,335,291,51,153403,12177,95024,9585,0,0,481,0,203,0,49
463350,Storm Of Spears RPG,Warfare Studios,,37,315,100,74,155930,12277,68993,8167,774,1516,189,178,185,178,199
429700,Squirbs,Team Indev,Team Indev,24,256,125,65,135207,11432,89211,9287,774,1516,183,123,191,123,499
18820,Zero Gear,Brian Cronin,Brian Cronin,47,651,157,81,125098,10997,72532,8374,769,1063,200,33,65,33,499
111100,Snuggle Truck,Owlchemy Labs,Owlchemy Labs,51,363,76,92,137481,11528,64950,7924,756,1046,148,235,66,235,499
285820,Action Henk,RageSquid,RageSquid,71,428,51,90,112715,10439,39172,6154,769,1063,250,83,114,83,1499
434890,Eight Mini Racers,David Mulder,Red Splat Games,15,25,17,68,128383,11140,99320,9799,763,1494,257,181,211,181,99
441870,OutDrive,Denver Productions,Siberian Digital,26,1335,605,71,125603,11019,81124,8856,2690,1990,168,8,144,11,299
346630,Plazma Being,Felix Wunderlich,Felix Wunderlich,41,271,77,75,135965,11464,75311,8533,769,1063,256,96,184,96,499
270810,Jones On Fire,Glass Bottom Games,Glass Bottom Games,23,101,51,84,120296,10784,21734,4584,1549,2144,197,168,119,192,299
249380,Carmageddon: Reincarnation,Stainless Games Ltd,Stainless Games Ltd,37,2175,690,75,107660,10202,70510,8256,774,1516,600,908,186,908,0
433910,Neon Drive,Fraoula,Fraoula,49,824,188,87,105386,10093,40436,6252,1011,988,111,11,67,16,999
4290,RACE: Caterham Expansion,SimBin,SimBin,,3,1,0,131163,11260,10614,3203,763,1494,11,1,1,1,499
446020,Jalopy,Minskworks,Excalibur Games,54,2629,518,82,114989,10543,86431,9141,10867,3241,639,215,285,138,899
353550,House of Caravan,Rosebud Games,Rosebud Games,24,361,170,67,126614,11063,72532,8374,738,1445,256,403,184,403,49
517710,Redout: Enhanced Edition,34BigThings srl,34BigThings srl,65,1934,266,86,125856,11030,82640,8938,4044,1977,236,70,79,35,3499
327010,Motorama,251 Games,KISS ltd,3,107,176,35,105133,10081,12383,3460,3052,2988,59,67,9,5,1999
313830,See No Evil,Gabriel Priske,Noetic,26,194,89,68,120296,10784,65708,7970,763,1494,227,40,166,40,49
488210,JDM Tuner Racing,JDM4iK,JDM4iK,4,100,151,50,112462,10427,10614,3203,763,1494,71,277,14,277,99
581200,Nash Racing,Tero Lunkka,Tero Lunkka,9,46,43,41,104122,10033,69752,8212,763,1494,285,317,271,317,399
46520,Wasteland Angel,"Octane Games, Meridian4",Meridian4,13,158,116,59,120296,10784,21987,4610,0,0,46,0,18,0,999
461970,Skyreach,Rainbow Goats Studio,Rainbow Goats Studio,4,56,86,39,99320,9799,33865,5722,0,0,44,0,4,0,0
447920,Drift (Over) Drive,Retraissance,New Reality Games,,4,5,0,111451,10380,1153,1302,774,1516,168,1,247,1,49
302710,BlazeRush,Targem Games,Targem Games,65,851,125,87,102100,9935,53072,7163,1153,1302,294,108,179,149,999
40380,nail'd,Techland,Deep Silver,47,839,204,80,97298,9699,47512,6777,769,1063,104,48,49,48,499
396030,InCell VR,Luden.io,Nival,26,144,65,68,103111,9984,32601,5614,1526,2113,115,282,14,562,0
16600,Trials 2: Second Edition,Redlynx,RedLynx Ltd.,54,162,31,84,109429,10285,73542,8432,763,1494,394,194,100,194,999
282030,Carmageddon 2: Carpocalypse Now,Stainless Games Ltd,Stainless Games Ltd,74,342,35,89,88453,9247,32854,5636,0,0,222,0,97,0,999
282010,Carmageddon Max Pack,Stainless Games Ltd,Stainless Games Ltd,82,319,27,81,90728,9365,31590,5526,1011,988,185,156,62,158,999
11230,Gumboy Tournament,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",30,359,140,73,99320,9799,24261,4843,0,0,26,0,8,0,149
377290,Biodrone Battle,Bit Juggler,Bit Juggler,10,131,118,52,107407,10190,74553,8490,774,1516,214,8,211,8,199
243360,TrackMania Valley,Nadeo,Ubisoft,43,268,72,77,99826,9824,48017,6813,1921,1682,1038,222,109,348,1999
209520,Mini Motor Racing EVO,The Binary Mill,The Binary Mill,22,394,210,68,98309,9749,49281,6902,0,0,171,0,66,0,499
668170,Incline,Homewreckers Studio,Homewreckers Studio,8,142,145,49,93760,9521,55599,7332,763,1494,12,9,5,9,0
552100,Brick Rigs,Lukas Rustemeyer,Lukas Rustemeyer,51,1684,360,82,101089,9886,74806,8504,18954,4281,1144,248,368,154,1499
417430,Moto Racer  4,Artefacts Studios,Microids,23,446,227,63,93760,9521,44227,6539,1537,1504,354,126,280,184,1499
454180,CrazyCars3D,Anea_Duo_Dev,Anea_Duo_Dev,21,126,69,66,94013,9533,65708,7970,0,0,239,0,243,0,299
110400,inMomentum,Digital Arrow,White Rabbit Interactive,35,113,39,88,87442,9194,25020,4918,0,0,95,0,20,0,999
108700,Death Rally,"Remedy Entertainment Ltd., Mountain Sheep Inc., Cornfox & Brothers Ltd.",Remedy Entertainment Ltd.,27,343,149,70,91233,9391,48270,6831,0,0,244,0,138,0,999
434460,Rock of Ages 2: Bigger & Boulder,ACE Team,ATLUS USA,41,1082,309,88,91486,9404,57621,7464,1516,1210,247,81,175,116,1499
493490,City Car Driving,"Forward Development, Ltd.","Forward Global Group, Ltd.",32,1169,436,69,84157,9020,61664,7721,10614,3203,1119,271,344,264,2499
442210,Switchcars,Altfuture,Altfuture,86,310,22,93,82388,8925,17943,4165,0,0,88,0,26,0,899
8790,GTR 2 FIA GT Racing Game,SimBin Studios AB,SimBin,82,156,13,91,90728,9365,38919,6134,1921,1682,63,1,1,1,799
378480,Badland Bandits,Wild Wolf Std,Wild Wolf Std,6,63,76,45,81882,8897,14152,3699,0,0,36,0,6,0,0
45410,Ignite,Nemesys Games,Nemesys Games,13,143,110,49,82640,8938,29316,5324,0,0,51,0,15,0,999
576660,Snake Party,Displacement Studios,Displacement Studios,,10,13,0,79102,8745,57874,7480,0,0,232,0,211,0,99
405610,Flight of the Paladin,Grizzly Wolf Games LLC,Grizzly Wolf Games LLC,11,167,139,53,96287,9648,66719,8031,2275,1483,221,467,211,474,49
44310,F1 2010,Codemasters - Birmingham Studio,Codemasters,27,250,112,68,94266,9546,65961,7986,1153,1302,2210,71,636,130,999
331650,Carmageddon TDR 2000,Torus Games,Stainless Games Ltd,27,161,72,72,73542,8432,15922,3923,0,0,180,0,15,0,499
509420,Riding Club Championships,Artplant,Artplant,24,232,113,67,90728,9365,49534,6920,3459,2256,285,82,20,57,0
